Category,Product,Peak_Revenue,Peak_Year,Current_Revenue_2025,Recovery_Rate_Pct,YoY_Growth_Pct,CAGR_Pct,Recovery_Status,Recovery_Risk_Score
Butter,Butter Bulk 20kg,5957500.07,2025,5957500.07,100.0,603.8,420.6,GROWING,2
Butter,Desi Cooking Butter 100gm(Tub),1760737.97,2025,1760737.97,100.0,37.4,19.6,GROWING,2
Butter,Desi Cooking Butter 200g(Tub),705547.09,2025,705547.09,100.0,15.5,6.2,STABLE,3
Butter,Desi Cooking Butter 500gm(Carton),3517102.08,2025,3517102.08,100.0,37.5,69.1,GROWING,2
Butter,Desi Cooking Butter 50g(Tub),6970.03,2025,6970.03,100.0,0.0,117.9,GROWING,2
Ghee,Biriyani Ghee 1 Ltr Pet,575369.6699999999,2023,321521.24,55.9,45.9,87.8,RECOVERING,6
Ghee,Biriyani Ghee 100ml Pet,756425.27,2025,756425.27,100.0,16.5,183.1,GROWING,2
Ghee,Biriyani Ghee 200ml Pet,905495.28,2024,786024.43,86.8,-13.2,188.2,GROWING,2
Ghee,Biriyani Ghee 5 Ltr Jar,84446.93,2021,14941.539999999999,17.7,0.0,-35.1,DISRUPTED,10
Ghee,Biriyani Ghee 500ml Pet,1216410.39,2024,986386.32,81.1,-18.9,86.4,GROWING,2
Ghee,Ghee 1 Ltr Pet,55208423.14,2025,55208423.14,100.0,40.6,55.6,GROWING,2
Ghee,Ghee 100ml Botls,35692545.05,2025,35692545.05,100.0,18.5,20.6,GROWING,2
Ghee,Ghee 15kg Tin,93568859.06,2024,83624000.64,89.4,-10.6,17.4,GROWING,2
Ghee,Ghee 200ml Pet,58746373.76,2025,58746373.76,100.0,13.3,19.5,GROWING,2
Ghee,Ghee 500ml Pet,105379733.89,2025,105379733.89,100.0,9.1,18.8,GROWING,2
Ghee,Ghee 50ml Pet,17573361.04,2025,17573361.04,100.0,19.2,33.0,GROWING,2
Ghee,Ghee 5ltr Jar,29804238.31,2025,29804238.31,100.0,12.2,51.6,GROWING,2
Ghee,Ghee Bulk,2362500.0300000003,2022,84000.0,3.6,-78.6,-36.8,DISRUPTED,10
Ghee,Ok Ghee 50ml,47346176.94,2021,1905020.01,4.0,3.4,-55.2,DISRUPTED,10
Instant Mixes,Dairy Fresh Vegitable Biriyani 250g,472282.27,2022,48946.2,10.4,69.8,-25.5,DISRUPTED,10
Instant Mixes,Instant Paneer Butter Masala Mix-270g,187192.06,2023,101205.24,54.1,30.1,-26.5,RECOVERING,6
Milk Powder,Day To Day Dairy Whitener - 20 G,374600.87,2025,374600.87,100.0,0.0,15.3,GROWING,2
Milk Powder,Day To Day Dairy Whitener - 200 G,1385685.53,2025,1385685.53,100.0,134.3,58.6,GROWING,2
Milk Powder,Day To Day Dairy Whitener - 500 G,1688540.59,2025,1688540.59,100.0,78.0,25.0,GROWING,2
Palada,Instant Jackfruit Payasam Mix 250g,16758.36,2022,9788.0,58.4,34.3,-16.4,RECOVERING,6
Palada,Instant Semiya Mix 250gm,2789630.17,2024,425684.79,15.3,-84.7,-15.6,STABLE,3
Palada,Palada - Instant Wheat Ada Mix 250g,176707.04,2021,90990.5,51.5,19.1,-15.3,RECOVERING,6
Palada,Palada Mix 200gm,10327212.43,2025,10327212.43,100.0,5.7,4.0,STABLE,3
Palada,Palada Pradhaman 200g,548311.84,2023,524430.81,95.6,24.9,29.0,STABLE,3
UHT Milk,D'Lite Milk 180 Ml,166115.83,2021,20000.0,12.0,-100.0,-41.1,DISRUPTED,10
UHT Milk,Uht Milk 450ml,5468413.52,2023,1920530.73,35.1,-27.0,28.7,DISRUPTED,8
UHT Milk,Uht Milk Double Toned 450 Ml,256198.63999999998,2022,36277.369999999995,14.2,0.0,-32.9,DISRUPTED,10
UHT Milk,Uht Toned Milk 1000 Ml (Tetra Pack),170750.78,2022,151615.8,88.8,464.5,6.0,RECOVERING,6
