Category,Champion_Model,Champion_MAPE,Date,Forecast,Lower_95,Upper_95
Butter,XGBoost,27.49,2026-01-01,3965865.75,2974399.3125,4957332.1875
Butter,XGBoost,27.49,2026-02-01,4082719.5,3062039.625,5103399.375
Butter,XGBoost,27.49,2026-03-01,3982756.25,2987067.1875,4978445.3125
Butter,XGBoost,27.49,2026-04-01,3988394.5,2991295.875,4985493.125
Butter,XGBoost,27.49,2026-05-01,3979237.75,2984428.3125,4974047.1875
Butter,XGBoost,27.49,2026-06-01,3984257.25,2988192.9375,4980321.5625
Butter,XGBoost,27.49,2026-07-01,3981519.5,2986139.625,4976899.375
Butter,XGBoost,27.49,2026-08-01,4093387.0,3070040.25,5116733.75
Butter,XGBoost,27.49,2026-09-01,4297101.5,3222826.125,5371376.875
Butter,XGBoost,27.49,2026-10-01,5026196.0,3769647.0,6282745.0
Butter,XGBoost,27.49,2026-11-01,5101367.5,3826025.625,6376709.375
Butter,XGBoost,27.49,2026-12-01,3320687.75,2490515.8125,4150859.6875
Ghee,XGBoost,12.07,2026-01-01,30578500.0,22933875.0,38223125.0
Ghee,XGBoost,12.07,2026-02-01,28947230.0,21710422.5,36184037.5
Ghee,XGBoost,12.07,2026-03-01,32462602.0,24346951.5,40578252.5
Ghee,XGBoost,12.07,2026-04-01,33709452.0,25282089.0,42136815.0
Ghee,XGBoost,12.07,2026-05-01,33820068.0,25365051.0,42275085.0
Ghee,XGBoost,12.07,2026-06-01,33936620.0,25452465.0,42420775.0
Ghee,XGBoost,12.07,2026-07-01,34152900.0,25614675.0,42691125.0
Ghee,XGBoost,12.07,2026-08-01,41386024.0,31039518.0,51732530.0
Ghee,XGBoost,12.07,2026-09-01,32533556.0,24400167.0,40666945.0
Ghee,XGBoost,12.07,2026-10-01,35475360.0,26606520.0,44344200.0
Ghee,XGBoost,12.07,2026-11-01,33244520.0,24933390.0,41555650.0
Ghee,XGBoost,12.07,2026-12-01,36853556.0,27640167.0,46066945.0
Instant Mixes,XGBoost,76.52,2026-01-01,70476.171875,52857.12890625,88095.21484375
Instant Mixes,XGBoost,76.52,2026-02-01,88408.53125,66306.3984375,110510.6640625
Instant Mixes,XGBoost,76.52,2026-03-01,115089.7421875,86317.306640625,143862.177734375
Instant Mixes,XGBoost,76.52,2026-04-01,119238.3125,89428.734375,149047.890625
Instant Mixes,XGBoost,76.52,2026-05-01,120519.3046875,90389.478515625,150649.130859375
Instant Mixes,XGBoost,76.52,2026-06-01,144193.5,108145.125,180241.875
Instant Mixes,XGBoost,76.52,2026-07-01,131442.296875,98581.72265625,164302.87109375
Instant Mixes,XGBoost,76.52,2026-08-01,149421.34375,112066.0078125,186776.6796875
Instant Mixes,XGBoost,76.52,2026-09-01,131196.125,98397.09375,163995.15625
Instant Mixes,XGBoost,76.52,2026-10-01,76003.7421875,57002.806640625,95004.677734375
Instant Mixes,XGBoost,76.52,2026-11-01,58115.484375,43586.61328125,72644.35546875
Instant Mixes,XGBoost,76.52,2026-12-01,50096.078125,37572.05859375,62620.09765625
Milk Powder,XGBoost,206.46,2026-01-01,394946.34375,296209.7578125,493682.9296875
Milk Powder,XGBoost,206.46,2026-02-01,470378.75,352784.0625,587973.4375
Milk Powder,XGBoost,206.46,2026-03-01,459255.25,344441.4375,574069.0625
Milk Powder,XGBoost,206.46,2026-04-01,471247.09375,353435.3203125,589058.8671875
