Date,Year,Month_No,Month_Name,Category,Product,Quantity_Kg,Sales_Value
2021-01-01,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,1.5,567.0
2021-01-02,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 200 G,1.2,489.6
2021-01-02,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,3.0,1134.0
2021-01-04,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,2.0,756.0
2021-01-05,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,1.5,567.0
2021-01-07,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 200 G,1.0,407.99
2021-01-07,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,1.0,378.0
2021-01-08,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,18.0,6804.0
2021-01-08,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 200 G,7.2,2937.6
2021-01-09,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,3.0,1134.0
2021-01-12,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 200 G,0.6,244.8
2021-01-12,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,3.5,1323.0
2021-01-13,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 200 G,1.2,489.61
2021-01-14,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,3.0,1134.0
2021-01-15,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,3.0,1134.0
2021-01-15,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 200 G,4.0,1632.01
2021-01-16,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 200 G,1.2,489.61
2021-01-17,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,3.0,1134.0
2021-01-17,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 200 G,1.2,489.61
2021-01-18,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 200 G,0.8,326.4
2021-01-18,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 500 G,1.0,378.0
2021-01-19,2021,1,Jan,Milk Powder,Day To Day Dairy Whitener - 200 G,0.4,163.21
