Product,Category,Cluster_Name,Revenue_Share_Pct,Concentration_Flag,Risk_Score,Peak_Year,Recovery_Rate_Pct,YoY_Growth_Pct,Recovery_Status,Recovery_Risk_Score,Annual_Forecast_2026,Avg_Monthly_Forecast,Champion,Champion_MAPE,Quality,Planning_Tier,Priority_Score,Festival_Alert,Recommended_Action
Ok Ghee 50ml,Ghee,Festival Rockets,4.7624,LOW,6,2021.0,4.0,3.4,DISRUPTED,10.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 2 — Algorithm with Caution,7.6,YES — Prepare 6 weeks before Onam/Vishu,FESTIVAL REVIEW — Festival SKU recovery needed
Ghee 500ml Pet,Ghee,Revenue Giants,25.463,CRITICAL,10,2025.0,100.0,9.1,GROWING,2.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,6.8,YES — Prepare 6 weeks before Onam/Vishu,"PROTECT — Maximum stock, zero stockout tolerance"
Ghee 15kg Tin,Ghee,Revenue Giants,21.2493,CRITICAL,10,2024.0,89.4,-10.6,GROWING,2.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,6.8,YES — Prepare 6 weeks before Onam/Vishu,"PROTECT — Maximum stock, zero stockout tolerance"
Ghee 200ml Pet,Ghee,Revenue Giants,13.64,CRITICAL,9,2025.0,100.0,13.3,GROWING,2.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,6.2,YES — Prepare 6 weeks before Onam/Vishu,"PROTECT — Maximum stock, zero stockout tolerance"
Ghee 1 Ltr Pet,Ghee,Core Portfolio,9.4285,HIGH,8,2025.0,100.0,40.6,GROWING,2.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,5.6,YES — Prepare 6 weeks before Onam/Vishu,"INVEST — Growing high value SKU, build inventory"
Ghee 100ml Botls,Ghee,Core Portfolio,7.9122,HIGH,8,2025.0,100.0,18.5,GROWING,2.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,5.6,YES — Prepare 6 weeks before Onam/Vishu,"INVEST — Growing high value SKU, build inventory"
Dairy Fresh Vegitable Biriyani 250g,Instant Mixes,Festival Rockets,0.0448,LOW,2,2022.0,10.4,69.8,DISRUPTED,10.0,1254201.0,104517.0,XGBoost,76.52,Poor,TIER 3 — Manual Planning Required,5.2,No,FESTIVAL REVIEW — Festival SKU recovery needed
Uht Milk Double Toned 450 Ml,UHT Milk,Festival Rockets,0.0285,LOW,2,2022.0,14.2,0.0,DISRUPTED,10.0,3609178.0,300765.0,Prophet,133.07,Poor,TIER 3 — Manual Planning Required,5.2,No,FESTIVAL REVIEW — Festival SKU recovery needed
D'Lite Milk 180 Ml,UHT Milk,Core Portfolio,0.0113,LOW,2,2021.0,12.0,-100.0,DISRUPTED,10.0,3609178.0,300765.0,Prophet,133.07,Poor,TIER 3 — Manual Planning Required,5.2,No,"DISCONTINUE REVIEW — Severely disrupted, evaluate viability"
Biriyani Ghee 5 Ltr Jar,Ghee,Core Portfolio,0.0068,LOW,2,2021.0,17.7,0.0,DISRUPTED,10.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 2 — Algorithm with Caution,5.2,YES — Prepare 6 weeks before Onam/Vishu,"DISCONTINUE REVIEW — Severely disrupted, evaluate viability"
Uht Milk 450ml,UHT Milk,Core Portfolio,0.6598,LOW,3,2023.0,35.1,-27.0,DISRUPTED,8.0,3609178.0,300765.0,Prophet,133.07,Poor,TIER 3 — Manual Planning Required,5.0,No,"DISCONTINUE REVIEW — Severely disrupted, evaluate viability"
Ghee 5ltr Jar,Ghee,Core Portfolio,5.8182,HIGH,7,2025.0,100.0,12.2,GROWING,2.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,5.0,YES — Prepare 6 weeks before Onam/Vishu,"INVEST — Growing high value SKU, build inventory"
Ghee 50ml Pet,Ghee,Core Portfolio,3.401,LOW,6,2025.0,100.0,19.2,GROWING,2.0,407100388.0,33925032.0,XGBoost,12.07,Excellent,TIER 1 — Algorithm Driven,4.4,YES — Prepare 6 weeks before Onam/Vishu,"MAINTAIN — Standard replenishment, monthly review"
Palada Mix 200gm,Palada,Core Portfolio,2.8246,LOW,5,2025.0,100.0,5.7,STABLE,3.0,11246694.0,937224.0,XGBoost,19.76,Excellent,TIER 1 — Algorithm Driven,4.2,YES — Prepare 6 weeks before Onam/Vishu,"MAINTAIN — Standard replenishment, monthly review"
