Product,Total_Revenue,Volatility_CV,Seasonality_Strength,Category,Cluster,Cluster_Name
Biriyani Ghee 1 Ltr Pet,1143152.73,1.3545048188863473,0.3150229844109035,Ghee,1,Core Portfolio
Biriyani Ghee 100ml Pet,1657215.03,0.5360847071748109,0.738654234562007,Ghee,1,Core Portfolio
Biriyani Ghee 200ml Pet,1985268.4500000002,0.5962724845800353,1.008682208686756,Ghee,1,Core Portfolio
Biriyani Ghee 5 Ltr Jar,111773.47,1.3555140306119806,1.4061489777780622,Ghee,1,Core Portfolio
Biriyani Ghee 500ml Pet,2837208.51,0.7552965174712268,1.0133478778568366,Ghee,1,Core Portfolio
Butter Bulk 20kg,9222213.82,1.6050642020935664,0.5268015673599188,Butter,1,Core Portfolio
D'Lite Milk 180 Ml,186978.32,1.8508949879132914,1.4724245654624408,UHT Milk,1,Core Portfolio
Dairy Fresh Vegitable Biriyani 250g,740714.36,4.199153570379321,4.089855188013418,Instant Mixes,0,Festival Rockets
Day To Day Dairy Whitener - 1 Kg,11773.44,0.4419417382415922,0.9322033898305084,Milk Powder,1,Core Portfolio
Day To Day Dairy Whitener - 10 Kg Bag,11037.599999999999,1.5137787719534366e-16,1.0000000000000002,Milk Powder,1,Core Portfolio
Day To Day Dairy Whitener - 20 G,668537.45,0.9391374474828014,1.282375756568862,Milk Powder,1,Core Portfolio
Day To Day Dairy Whitener - 200 G,3649040.87,1.0779422468146607,1.606824540148755,Milk Powder,1,Core Portfolio
Day To Day Dairy Whitener - 500 G,5290548.64,0.7585643165269215,1.353704969928239,Milk Powder,1,Core Portfolio
Day To Day Dairy Whitener - 900 G,349328.25,1.210049116961635,0.4191377714494519,Milk Powder,1,Core Portfolio
Desi Cooking Butter 100gm(Tub),6121141.29,0.3812609138583424,1.0172218364694134,Butter,1,Core Portfolio
Desi Cooking Butter 200g(Tub),3169284.8,0.30788363861504775,1.0210651914164224,Butter,1,Core Portfolio
Desi Cooking Butter 500gm(Carton),11259504.65,0.600565400908865,0.9825198313040989,Butter,1,Core Portfolio
Desi Cooking Butter 50g(Tub),21903.21,1.3908757581500932,0.14691819905633613,Butter,1,Core Portfolio
Ghee 1 Ltr Pet,156044782.89,0.5789302739917092,0.9386623772472594,Ghee,1,Core Portfolio
Ghee 100ml Botls,130949596.95,0.3889612293773446,1.4588214611135326,Ghee,1,Core Portfolio
Ghee 15kg Tin,351682918.37,0.3831099729261828,1.0966771897371415,Ghee,2,Revenue Giants
Ghee 2 Ltr Tin,769744.73,1.3412263708675183,1.666505271561384,Ghee,1,Core Portfolio
Ghee 200ml Pet,225747376.08,0.2505164863535462,1.2197588990618278,Ghee,2,Revenue Giants
Ghee 500ml Pet,421421157.86,0.20831256054959457,1.0875415844076595,Ghee,2,Revenue Giants
Ghee 50ml Pet,56287650.59,0.4904227001588952,1.3563190861107037,Ghee,1,Core Portfolio
Ghee 5ltr Jar,96292456.47,0.49960555598747175,0.9183164212261161,Ghee,1,Core Portfolio
Instant Butter Idiyappam,687717.8099999999,0.7310933063770865,3.0247707437969367,Instant Mixes,1,Core Portfolio
Instant Ghee Upma,343298.81,1.3582027343251404,3.417118669715096,Instant Mixes,1,Core Portfolio
Instant Jackfruit Payasam Mix 250g,34046.770000000004,1.1007749077205526,0.3212158427653339,Palada,1,Core Portfolio
Instant Paneer Butter Masala Mix-270g,366182.4,0.652316749011384,1.2013507027566002,Instant Mixes,1,Core Portfolio
Instant Pulissery Mix - 100g,32958.7,1.033819871864214,0.5168593745402685,Instant Mixes,1,Core Portfolio
Instant Semiya Mix 250gm,7242495.32,3.5539883455340444,4.659319381790163,Palada,0,Festival Rockets
Ok Ghee 50ml,78819687.38,2.346427531038651,6.673856481993468,Ghee,0,Festival Rockets
Palada - Instant Wheat Ada Mix 250g,523881.95,1.9400703841881222,2.260862140886863,Palada,1,Core Portfolio
Palada Mix 200gm,46748208.78,1.4562639718583625,2.989854928980484,Palada,1,Core Portfolio
Palada Pradhaman 200g,2096519.4100000001,0.9136687672822168,1.6016942842195043,Palada,1,Core Portfolio
Ready To Drink Palada 400g,589470.46,1.8310571147665755,1.0071096982322194,Palada,1,Core Portfolio
Uht Milk 450ml,10920412.11,1.0422514336303401,0.9209877018648887,UHT Milk,1,Core Portfolio
Uht Milk 500ml,14575629.51,0.9574526885862596,0.8776378165442822,UHT Milk,1,Core Portfolio
Uht Milk Double Toned 450 Ml,470933.89,1.9514052878887247,3.699347630994126,UHT Milk,0,Festival Rockets
Uht Toned Milk 1000 Ml (Tetra Pack),479812.5,0.7608186803132477,0.7506541977962372,UHT Milk,1,Core Portfolio
Uht Toned Milk 500 Ml (Tetra Pack),90028.35,0.7615407685184947,0.8395113734126838,UHT Milk,1,Core Portfolio
